"","species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"134","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Road to Trigohuaico.",-22.41667,-65.08333,NA,3640,"USA004","USA004","1367585","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3640",NA,NA,"AR","Road to Trigohuaico., Argentina"
"135","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Rosario de Lerma, Cordon de Lesser, Abra de Potro Muerto, 12 hours by mule from Castellanos.",-24.61667,-65.56667,NA,3750,"USA004","USA004","1394951","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3750",NA,NA,"AR","Rosario de Lerma, Cordon de Lesser, Abra de Potro Muerto, 12 hours by mule from Castellanos., Argentina"
"136","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Abra Apacheta.",-22.21667,-65.05,NA,3490,"USA004","USA004","1367632","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3490",NA,NA,"AR","Abra Apacheta., Argentina"
"137","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Humahuaca.  chaupi Rodero, road from Iturbe to Iruya.",-22.93333,-65.31667,NA,3500,"USA004","USA004","1452998","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","Humahuaca.  chaupi Rodero, road from Iturbe to Iruya., Argentina"
"138","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Cuesta de Munano, 13 km NW of Las Cuevas on route 51.",-24.31667,-66.1,NA,3800,"USA004","USA004","1367667","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","Cuesta de Munano, 13 km NW of Las Cuevas on route 51., Argentina"
"139","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Cercado: Caracollo, at junction of main La Paz-Cochabamba road and road to Oruro.",-17.65,-67.23333,NA,3800,"USA004","USA004","1101227","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"BO","Cercado: Caracollo, at junction of main La Paz-Cochabamba road and road to Oruro., Bolivia"
"140","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Up from Casa Colorada.",-23.58333,-65.33333,NA,4000,"USA004","USA004","1177480","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"AR","Up from Casa Colorada., Argentina"
"141","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"San Carlos.  11 km south of route 59, road to Mina Don Otto.",-25.28278,-65.9,NA,3100,"USA004","USA004","1453001","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3100",NA,NA,"AR","San Carlos.  11 km south of route 59, road to Mina Don Otto., Argentina"
"142","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Chapare.  35 km from Tranca de Sacaba on the road to Palca.",-17.23333,-66.05,NA,3760,"USA004","USA004","1393018","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3760",NA,NA,"BO","Chapare.  35 km from Tranca de Sacaba on the road to Palca., Bolivia"
"143","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Arani.  Koari, 87 km from Cochabamba towards Santa Cruz.",-17.43333,-65.71667,NA,3550,"USA004","USA004","1368251","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3550",NA,NA,"BO","Arani.  Koari, 87 km from Cochabamba towards Santa Cruz., Bolivia"
"144","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Dalence: ca 25 km E of Huanuni, on Oruro-Sucre road.",-18.38333,-66.65,NA,4149,"USA004","USA004","1100038","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4149",NA,NA,"BO","Dalence: ca 25 km E of Huanuni, on Oruro-Sucre road., Bolivia"
"145","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Camacho.  Vicinity of Carabuco.",-15.75,-69.06667,NA,3820,"USA004","USA004","1393122","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3820",NA,NA,"BO","Camacho.  Vicinity of Carabuco., Bolivia"
"146","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Canta.  Quinan hill above Lachaqui.",-11.41667,-76.63333,NA,4000,"USA004","USA004","1368421","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Canta.  Quinan hill above Lachaqui., Peru"
"147","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Mina La Belgica, SE 12 km of Pumahuasi.",-22.36667,-65.63333,NA,3650,"USA004","USA004","1367580","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3650",NA,NA,"AR","Mina La Belgica, SE 12 km of Pumahuasi., Argentina"
"148","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Prov. Tapacari.  Irutambo.  62 km from Oruro towards Cochabamba (25 km from Caihuasi).",-17.78333,-66.81667,NA,4260,"USA004","USA004","1440888","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4260",NA,NA,"BO","Prov. Tapacari.  Irutambo.  62 km from Oruro towards Cochabamba (25 km from Caihuasi)., Bolivia"
"149","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Tafi de Valle.",-26.86667,-65.68333,NA,NA,"USA004","USA004","1173987","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Tafi de Valle., Argentina"
"150","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Yatunpampa, 51 km from Isenchaca to Huancavelica.",-12.7,-74.9,NA,4000,"USA004","USA004","1368419","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Yatunpampa, 51 km from Isenchaca to Huancavelica., Peru"
"151","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Oran.  El Remate, above Santa Cruz.",-23.2,-64.91667,NA,2900,"USA004","USA004","1453000","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2900",NA,NA,"AR","Oran.  El Remate, above Santa Cruz., Argentina"
"152","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Molinos, about 9 hours by mule NW of Leon.",-23.96667,-65.63333,NA,3200,"USA004","USA004","1394953","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3200",NA,NA,"AR","Molinos, about 9 hours by mule NW of Leon., Argentina"
"153","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Prov. Loayza.  20.8 km from Ayo Ayo on the road towards Caracato.  Lower side of roadway.",-17.03333,-67.85,NA,3990,"USA004","USA004","1440873","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3990",NA,NA,"BO","Prov. Loayza.  20.8 km from Ayo Ayo on the road towards Caracato.  Lower side of roadway., Bolivia"
"154","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Aviles: 4.6 km N of town square of Yanchara, on road to Iscayachi.",-21.81667,-65.2,NA,3641,"USA004","USA004","1100098","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3641",NA,NA,"BO","Aviles: 4.6 km N of town square of Yanchara, on road to Iscayachi., Bolivia"
"155","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Palca de Aparzo, 1 km S of Abarzo via the road to Cianzo.",-23.13278,-65.1,NA,3800,"USA004","USA004","1367649","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","Palca de Aparzo, 1 km S of Abarzo via the road to Cianzo., Argentina"
"156","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Cajas, Playa del rio.",-22.23333,-65.3,NA,4000,"USA004","USA004","1367583","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"AR","Cajas, Playa del rio., Argentina"
"157","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"50 km E of Abra de Lizoite, route 5, near Santa Victoria.",-22.21667,-65.23333,NA,3500,"USA004","USA004","1367676","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","50 km E of Abra de Lizoite, route 5, near Santa Victoria., Argentina"
"158","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"52 km E of Abra de Lizoite, route 5.",-22.78333,-65.1,NA,3300,"USA004","USA004","1367678","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3300",NA,NA,"AR","52 km E of Abra de Lizoite, route 5., Argentina"
"159","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"San Francisco, 12 km W of Santa Catalina.",-21.88333,-66.11667,NA,4080,"USA004","USA004","1367601","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4080",NA,NA,"AR","San Francisco, 12 km W of Santa Catalina., Argentina"
"160","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Rio Guayatayoc.",-22.28333,-66.03333,NA,3650,"USA004","USA004","1367726","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3650",NA,NA,"AR","Rio Guayatayoc., Argentina"
"161","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Prov. Cercado.  9 km from Oruro checkpoint, 33 km from Cala Cala on road to Sacaca.  Huastaca.",-17.93333,-66.66667,NA,4120,"USA004","USA004","1440884","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4120",NA,NA,"BO","Prov. Cercado.  9 km from Oruro checkpoint, 33 km from Cala Cala on road to Sacaca.  Huastaca., Bolivia"
"162","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"6 km W of Oros.",-22.25,-66.35,NA,3900,"USA004","USA004","1367704","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"AR","6 km W of Oros., Argentina"
"163","Solanum acaule",NA,"Peru",NA,NA,"Mariscal Nieto: 15 km NW of El Cruce on road to Carumas (33 km between these places).",-16.86528,-70.67056,NA,3660,"USA004","USA004","1561387","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3660",NA,NA,"PE","Mariscal Nieto: 15 km NW of El Cruce on road to Carumas (33 km between these places)., Peru"
"164","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Extacion Azul Pampa.",-22.96667,-65.45,NA,3500,"USA004","USA004","1368101","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","Extacion Azul Pampa., Argentina"
"165","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"11 km W of Oros.",-22.23333,-66.38333,NA,3800,"USA004","USA004","1367705","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","11 km W of Oros., Argentina"
"166","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Route 9, 10 km from Tres Cruces.",-22.93333,-65.51667,NA,3550,"USA004","USA004","1367577","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3550",NA,NA,"AR","Route 9, 10 km from Tres Cruces., Argentina"
"167","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Melgar.  From Santa Rosa, 17 km before Aquas Calientes.",-14.75,-70.75,NA,4175,"USA004","USA004","1368265","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4175",NA,NA,"PE","Melgar.  From Santa Rosa, 17 km before Aquas Calientes., Peru"
"168","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Rincon de Cajas, Finca de Marcos Cruz, route 5.",-22.23333,-65.28333,NA,3980,"USA004","USA004","1367680","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3980",NA,NA,"AR","Rincon de Cajas, Finca de Marcos Cruz, route 5., Argentina"
"169","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Pampa Larga.",-22.2,-65.05,NA,3000,"USA004","USA004","1367631","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3000",NA,NA,"AR","Pampa Larga., Argentina"
"170","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Aparzo.",-23.1,-65.16667,NA,3900,"USA004","USA004","1367728","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"AR","Aparzo., Argentina"
"171","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Huarochiri",-12.15,-76.23333,NA,NA,"USA004","USA004","1393117","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Huarochiri, Peru"
"172","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Recuay.  Between Ticapampa and Pass of Cahuish, heights of route to Chavin.",-9.66667,-77.35,NA,4400,"USA004","USA004","1393132","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4400",NA,NA,"PE","Recuay.  Between Ticapampa and Pass of Cahuish, heights of route to Chavin., Peru"
"173","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Prov. Ayopaya. 9 km from Kami on the road to Challa.",-17.41667,-66.83333,NA,3740,"USA004","USA004","1440773","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3740",NA,NA,"BO","Prov. Ayopaya. 9 km from Kami on the road to Challa., Bolivia"
"174","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Salveayoc, 5 km SW of Rinconada.",-22.46667,-66.2,NA,4000,"USA004","USA004","1367619","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"AR","Salveayoc, 5 km SW of Rinconada., Argentina"
"175","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Sillustani.",-15.83333,-70.03333,NA,3900,"USA004","USA004","1368264","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Sillustani., Peru"
"176","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Recuay.  Near mines of Tuco.",-9.86667,-77.2,NA,4150,"USA004","USA004","1393131","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4150",NA,NA,"PE","Recuay.  Near mines of Tuco., Peru"
"177","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"La Bomba (Encrucijada), km 180 on route 51.",-24.31667,-66.11667,NA,3500,"USA004","USA004","1394949","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","La Bomba (Encrucijada), km 180 on route 51., Argentina"
"178","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Cercado.  Sierra de Tunari, near Lake Huara Huara at the end of the road, 23.5 km from the park entrance.",-17.3,-66.16667,NA,4000,"USA004","USA004","1393015","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"BO","Cercado.  Sierra de Tunari, near Lake Huara Huara at the end of the road, 23.5 km from the park entrance., Bolivia"
"179","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Rinconada.",-22.43333,-66.18333,NA,3950,"USA004","USA004","1367688","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"AR","Rinconada., Argentina"
"180","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Piedra Parada, 5 hours by mule from Tilcara, above Abra Colorada.",-23.58333,-65.21667,NA,3450,"USA004","USA004","1394947","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3450",NA,NA,"AR","Piedra Parada, 5 hours by mule from Tilcara, above Abra Colorada., Argentina"
"181","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Capital.  Ovejeria about ten hours from Leon by mule.",-24.1,-65.66667,NA,3450,"USA004","USA004","1452996","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3450",NA,NA,"AR","Capital.  Ovejeria about ten hours from Leon by mule., Argentina"
"182","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Quebrada Honda, 84 km",-26.78278,-65.75,NA,2950,"USA004","USA004","1368445","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2950",NA,NA,"AR","Quebrada Honda, 84 km, Argentina"
"183","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Quebrada del Arroyo Zenta.",-23.16667,-65.05,NA,4300,"USA004","USA004","1393289","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4300",NA,NA,"AR","Quebrada del Arroyo Zenta., Argentina"
"184","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Palca de Aparzo, 41 km E of Humahuaca.",-23.11667,-65.11667,NA,3800,"USA004","USA004","1367718","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","Palca de Aparzo, 41 km E of Humahuaca., Argentina"
"185","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Aqua Chia.",-22.3,-65.35,NA,3900,"USA004","USA004","1367699","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"AR","Aqua Chia., Argentina"
"186","Solanum acaule f. acaule",NA,"Peru",NA,NA,"Condorsenca, Pampa Galeras",-14.66667,-74.38333,NA,NA,"USA004","USA004","1368377","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Condorsenca, Pampa Galeras, Peru"
"187","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Abra de Meson, 10 km E of Santa Victoria.",-22.25,-64.9,NA,2900,"USA004","USA004","1367625","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2900",NA,NA,"AR","Abra de Meson, 10 km E of Santa Victoria., Argentina"
"188","Solanum acaule Bitter","South America","Peru","Cuzco",NA,NA,-12.5,-72.5,NA,NA,"F","Botany","2038790","specimen","A. Tupayachi","1989-01-06","1989-01-06","Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Cuzco, Peru, South America"
"189","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Tucuman, Department: Tafi, Route 307, km83, between Infiernillos and Tafi del Valle.""",-26.7667,-65.75,NA,2940,"NLD037","NLD","CGN23496","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2940",NA,NA,"AR","Province: Tucuman, Department: Tafi, Route 307, km83, between Infiernillos and Tafi del Valle., Argentina"
"190","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Santa Victoria""",-22.4167,-65.0833,NA,3640,"NLD037","NLD","CGN17915","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3640",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Argentina"
"191","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Rinconada""",-22.4333,-66.1833,NA,3950,"NLD037","NLD","CGN18068","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"AR","Province: Jujuy, Department: Rinconada, Argentina"
"192","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"""Department: Cochabamba, Province: Ayopaya, 34km from turning of Morochata-Cochabamba road to Cocapata, Viscachas.""",-17.1667,-66.5,NA,4000,"NLD037","NLD","CGN22768","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"BO","Department: Cochabamba, Province: Ayopaya, 34km from turning of Morochata-Cochabamba road to Cocapata, Viscachas., Bolivia"
"193","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Santa Victoria, Abra de Meson, El Meson.""",-22.2833,-64.8667,NA,3220,"NLD037","NLD","CGN23032","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3220",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Abra de Meson, El Meson., Argentina"
"194","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: La Rioja, Department: Famatina, Sierra Famatina, La Encrucijada, just above in a small valley.""",-28.9667,-67.7,NA,3250,"NLD037","NLD","CGN24371","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3250",NA,NA,"AR","Province: La Rioja, Department: Famatina, Sierra Famatina, La Encrucijada, just above in a small valley., Argentina"
"195","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Santa Victoria""",-22.4,-65.1167,NA,3500,"NLD037","NLD","CGN24289","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Argentina"
"196","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: La Poma""",-24.5,-66.0333,NA,4350,"NLD037","NLD","CGN17929","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4350",NA,NA,"AR","Province: Salta, Department: La Poma, Argentina"
"197","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"""Department: Oruro, Province: Cercado, Lago Uru Uru, near Machacarmarca.""",-18.1667,-67.0833,NA,3700,"NLD037","NLD","CGN18169","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"BO","Department: Oruro, Province: Cercado, Lago Uru Uru, near Machacarmarca., Bolivia"
"198","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Santa Catalina""",-21.8833,-66.1167,NA,4000,"NLD037","NLD","CGN24292","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"AR","Province: Jujuy, Department: Santa Catalina, Argentina"
"199","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Yavi""",-22.1167,-65.7,NA,3530,"NLD037","NLD","CGN17918","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3530",NA,NA,"AR","Province: Jujuy, Department: Yavi, Argentina"
"200","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Yavi""",-22.1333,-65.75,NA,3850,"NLD037","NLD","CGN17919","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3850",NA,NA,"AR","Province: Jujuy, Department: Yavi, Argentina"
"201","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Chicoana, 21.4 km above Escoipe on road to Cachi, Cuesta del Obispo.""",-25.15,-65.8667,NA,3200,"NLD037","NLD","CGN17673","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3200",NA,NA,"AR","Province: Salta, Department: Chicoana, 21.4 km above Escoipe on road to Cachi, Cuesta del Obispo., Argentina"
"202","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"""Department: Cochabamba, Province: Cercado, Sierra de Tunari, near Lake Huara At End of road, 23.5 Km from Park Entry.""",-17.3,-66.1667,NA,4000,"NLD037","NLD","CGN23559","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"BO","Department: Cochabamba, Province: Cercado, Sierra de Tunari, near Lake Huara At End of road, 23.5 Km from Park Entry., Bolivia"
"203","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Humahuaca""",-22.9667,-65.4333,NA,3700,"NLD037","NLD","CGN17928","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"AR","Province: Jujuy, Department: Humahuaca, Argentina"
"204","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Rinconada, 8 km SW of Rinconada.Abra fundiciones""",-22.5,-66.2,NA,4020,"NLD037","NLD","CGN23031","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4020",NA,NA,"AR","Province: Jujuy, Department: Rinconada, 8 km SW of Rinconada.Abra fundiciones, Argentina"
"205","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Chicoana, 15km above Escoipe on the road to Cachi, Cuesta del Obispo.""",-25.1667,-65.7667,NA,2950,"NLD037","NLD","CGN24290","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2950",NA,NA,"AR","Province: Salta, Department: Chicoana, 15km above Escoipe on the road to Cachi, Cuesta del Obispo., Argentina"
"206","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Yavi""",-22.2333,-65.2833,NA,3980,"NLD037","NLD","CGN17932","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3980",NA,NA,"AR","Province: Jujuy, Department: Yavi, Argentina"
"207","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Jujuy, Department: Capital, Ovejeria about 10 hours from Leon by mule.""",-24.1,-65.6667,NA,3450,"NLD037","NLD","CGN18276","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3450",NA,NA,"AR","Province: Jujuy, Department: Capital, Ovejeria about 10 hours from Leon by mule., Argentina"
"208","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Santa Victoria, East side of Abra de Lizoite.""",-22.2667,-65.1333,NA,3800,"NLD037","NLD","CGN17852","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","Province: Salta, Department: Santa Victoria, East side of Abra de Lizoite., Argentina"
"209","Solanum acaule f. acaule",NA,"Peru",NA,NA,"""Department: Cusco, Province: Canchis, Aguas Calientes, just below La Raya Pass on Cuzco side of road to Puno.""",-14.4667,-71.0667,NA,4050,"NLD037","NLD","CGN18370","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4050",NA,NA,"PE","Department: Cusco, Province: Canchis, Aguas Calientes, just below La Raya Pass on Cuzco side of road to Puno., Peru"
"210","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"""Department: La Paz, Province: Los Andes, road from La Paz to Guaqui, 53km from El Alto (Tambillo).""",-16.5833,-68.8167,NA,3750,"NLD037","NLD","CGN23058","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3750",NA,NA,"BO","Department: La Paz, Province: Los Andes, road from La Paz to Guaqui, 53km from El Alto (Tambillo)., Bolivia"
"211","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Santa Victoria""",-22.25,-65.2167,NA,3900,"NLD037","NLD","CGN17934","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"AR","Province: Salta, Department: Santa Victoria, Argentina"
"212","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"""Province: Salta, Department: Rosario de Lerma, Guayar, Puesto de Las Lajas, between Ovejeria and San Jose,  1.5 days from Castellanos.""",-24.6,-65.5833,NA,3650,"NLD037","NLD","CGN18274","specimen",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3650",NA,NA,"AR","Province: Salta, Department: Rosario de Lerma, Guayar, Puesto de Las Lajas, between Ovejeria and San Jose,  1.5 days from Castellanos., Argentina"
