"species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760948","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.8833,-69.8833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761329","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762377","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762873","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.7063,-76.2683,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762117","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.083,-68.417,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760874","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762432","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762160","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.01,-69.35,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762140","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762417","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","763818","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.8255,-73.2758,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762195","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-17.2677,-70.2494,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761939","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.667,-66.467,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760540","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762420","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762414","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-18.283,-66.333,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760484","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-10.5744,-76.7661,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761509","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761986","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.68,-74.12,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762031","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762147","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762205","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760947","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761957","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-10.9166,-76.0333,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761857","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760382","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762445","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762202","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762151","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761803","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.68,-74.12,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762035","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.7677,-72.1772,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762350","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.617,-68.7,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760589","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762146","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761832","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761972","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","763414","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-9.4,-77.033,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761438","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.033,-68.85,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760316","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.68,-74.12,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762030","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.317,-66.367,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760216","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762865","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.1666,-68.5666,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761290","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762384","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762167","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761513","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.5283,-73.5786,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761144","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.95,-69.7833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761330","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.12,-71.65,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761946","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762443","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.45,-70.15,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761631","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.6666,-74.3833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762043","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.167,-66.5,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760480","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.5,-68.15,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760313","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.3,-66.167,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760456","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762213","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.46,-75.958,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762283","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.55,-68.7,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760332","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.6,-70.78,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761614","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.117,-67.683,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760586","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.45,-65.717,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761366","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.367,-68.117,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760561","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.75,-69.067,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761347","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-9.75,-77.43,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761435","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.0319,-71.0497,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761620","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762412","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761822","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-18.8,-65.883,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760495","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.567,-67.15,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760882","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.8,-76.62,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762065","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-10.9166,-76.0333,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761858","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.7,-70.6058,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761966","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761130","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762784","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","763516","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.567,-73.783,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761158","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.167,-66.5,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760481","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762214","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.7,-75.433,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761228","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.833,-65,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761386","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.3,-69.967,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760339","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.85,-68.45,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760872","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761953","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","763202","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761286","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","763507","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762163","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761979","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761624","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762449","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-17.1163,-70.3897,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761944","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.4058,-76.5769,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761200","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.833,-70.033,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760342","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-19.633,-65.667,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760277","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.6333,-73.75,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762033","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762413","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762338","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761149","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762216","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761150","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Namibia",NA,NA,NA,NA,NA,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","763001","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,NA,"Namibia"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.5,-70.917,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761229","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-9.8166,-77.3,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761057","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.6918,-70.1229,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762346","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
